,TEMA,TEXT
4078,,"Cuenta la leyenda que en un mitin en Betanzos el candidato no conseguía enardecer al público con las promesas y en una muestra de suprema generosidad preguntó al auditorio: betanceiros, ¿qué queredes? —Que suba o pan e baixe a caña e catro colleitas o ano—, le respondieron. El político prometió tratar la petición con premura en Madrid y el auditorio coreó ¡Viva Premura!  La leyenda —si non e vero e bene trovato— refleja la desconexión de los políticos de la realidad de los pueblos y la fina ironía y escepticismo de la gente ante los teloneros y candidatos que pierden el control verbal, el sentido del ridículo y prometen mintiendo burdamente en unos casos y con cierta elegancia en otros, pero siempre sin una «memoria económica» que garantice el dinero necesario para hacer frente a los gastos de las acciones que anuncian. Galicia no es una excepción y estos días se escucha una colección de promesas que los candidatos anuncian para hacer de Galicia la Arcadia feliz y rebosante en la que no faltará de nada. Habrá gratuidad total en educación, desaparecerán las deficiencias de la sanidad (listas de esperas, Atención Primaria), mejorarán los servicios sociales y dependencia; se construirán tropecientas viviendas; habrá planes de apoyo a los sectores de actividad, sobre todo la industria elevando su peso en el PIB; vuelve la transferencia de la AP-9, el transporte gratuito; se crearán empresas públicas… Igual de dadivoso es el Gobierno central al que, de pronto, le entró un amor casi pasional por Galicia. Reaparece la alta velocidad, siempre recurrente, que según el ministro de Transportes «los gallegos no tendrán que pedir a los Reyes Magos (él los trajo a Vigo en vísperas de Navidad), llegará antes del 31 de marzo». Acabará anunciando mejoras en las conexiones Coruña-Ferrol y Lugo, cuyas vías están como cuando se construyeron, y recuperar el tren de cercanías. «Las promesas electorales están para no cumplirse», decía el alcalde Tierno, quedan bien en el fragor mitinero y se formulan para cazar el voto ciudadano. Por eso, hay que ser descreídos porque responden a la «verdad electoral» y la mayoría no son realistas al no estar sostenidas por dotaciones presupuestarias. «La mayoría de las promesas, dice Andrés Trapiello, se extinguirán en el aire flotando como pavesas». Por tanto, no se fíen. Una dosis de escepticismo ahuyenta la tentación de creer en paraísos que inventan los políticos en campaña cuando «o falar non ten cancelas». Es mejor agarrarse a propuestas razonadas que a promesas a la desesperada. Para votar con criterio."
4080,,"SÉGOLÈNE Royal , que quiso ser presidenta de la república francesa y perdió por goleada frente Sarkozy, ha dicho que los tomates españoles son incomibles. Lo primero que se pregunta una cuando escucha la boutade de Ségolène (que se llamaba Marie Ségolène, pero se mutiló el nombre porque le parecía escasamente progre) es en dónde compra los tomates españoles doña Ségolène, porque a lo mejor le están dando el cambiazo y le venden cualquier porquería. Ségolène Royal se fue a la tele a meterse con los tomates españoles, que ya son ganas de buscar problemas, porque cualquiera que haya comido tomate en España sabe que aquí hay tomates malos, como en cualquier parte, pero también tomates aceptables y tomates sublimes, como los que me dieron a probar el otro día en Madrid Fusión, que eran gloria bendita: unos tomates ecológicos que sabían a fruta madura. En la tienda de debajo de mi casa hay tomates canarios jugosos y dulces, tomates azules que huelen a tierra, tomates rosa de Barbastro, tomates ibéricos que dan un salmorejo espectacular, tomates corazón de buey que pesan más de medio kilo, tomatitos cherry a precio exagerado, tomates pera, tomates negros, tomates de racimo insuperables para frotar en el pan tostado, tomates raf con el punto justo de acidez, tomates de salsa y de ensalada. Puedo asegurar que en la frutería de mi plaza no me he encontrado un tomate incomible en casi veinte años que llevo siendo clienta. Y, en cualquier caso, los tomates que uno compra en los establecimientos españoles pueden ser más o menos sabrosos, a veces incluso algo insípidos, pero el calificativo de ""incomibles"" no va con ellos. Hay que tener menos luces que una ermita de aldea para irse a la tele y esgrimir ese pobre argumento para explicar las revueltas de los agricultores franceses. No sé muy bien a qué se dedica Ségolène Royal, pero seguro que no es a testar tomates españoles. Se merece unos cuantos. Que alguien caritativo le mande una cesta."
4082,,"Enero se me ha hecho larguísimo, me parecía que no se acababa nunca, como París para Vila Matas y la mugre entre los azulejos para cualquiera que se decida a limpiarla. En enero la luz es corta y el tiempo se hace eterno. Hay algún lunes en que nos preguntamos qué sentido tiene la existencia si ya todo lo hemos vivido. Los eneros vienen llenos de promesas y enseguida se convierten en cromos semejantes. Los creadores de aquellas colecciones que hacíamos de niños sabían muy bien representar la vida. El cromo esperado no llegaba nunca y, en nuestro afán de buscarlo, nos llenábamos de estampitas repetidas. Por suerte, ya estamos en febrero, aunque en el balcón parezca mayo y las plantas y yo nos volamos locas con tanto calor a destiempo. Los negacionistas del cambio climático lo tienen difícil, pero, a pesar de los 48 grados del pasado verano en Sicilia y de que la tierra se cuartee, ellos siguen erre que erre. Más allá de la deshidratación a la que nos abocamos, el signo de los tiempos es que en la política triunfe el realismo mágico, aunque García Márquez lleve un porrón de años en el más allá. Por cierto, en marzo el difunto premio Nobel sacará nueva novela. Como librera formal pero dicharachera, he tenido que firmar que no desvelaré nada de su contenido hasta la fecha de su lanzamiento. Por si acaso no os diré ni el título, me gusta cumplir mis compromisos cuando se trata de muertos y de libros. Al colombiano me lo ha recordado Ayuso relacionando la sequía en Cataluña con el cierre de las plazas de toros. La falta de libertad nunca trajo nada bueno, dijo y se quedó tan pichi, burlándose subrepticiamente, con un fantástico silogismo, de la sed de los catalanes ante su público taurino. Pensé en la pobre palabra libertad, tan manoseada que acaba no significando nada. A este paso, a la palabra invierno le pasará lo mismo. Escuchando a la lideresa de la capital que siempre está mirando más allá de su cortijo, me imaginé que, cada vez que se encuentra con Feijoo, la sala se llena de mariposas amarillas. En ‘Cien años de soledad’, eso sucedía cuando Mauricio Babilonia visitaba a Meme en la casa de los Buendía. Lo que no está nada claro es si estamos hablando de amor o de traición. A ver si los insectos que sobrevuelan esta historia son avispas."
4088,lugo,"Al contrario de lo que pasó en otras ciudades, el casco histórico de Lugo y sus zonas más próximas se han mantenido como el centro de la ciudad y como la 'milla de oro' para vivir. Es aquí donde los pisos siguen teniendo los precios más altos. Sin embargo, el mercado no opina en estos momentos lo mismo y no hay inversores ni promotores muy interesados en apostar por la zona, ahuyentados por normativas urbanísticas que ven disparatadas, problemas para conseguir licencias y unos precios de partida que hacen prácticamente inviable sacar algún beneficio de una inversión millonaria. La joya urbanística de Lugo es en este momento solo un vistoso adorno. Rehabilitación para un casco menos viejo en Lugo Hay muchos bajos parados hoy en el centro, pero el fenómeno de la huida de inversores va más allá de los locales comerciales y afecta sobre todo a la vivienda. Los expertos inmobiliarios, promotores urbanísticos e inversores consultados coincidieron tanto en su diagnóstico como en las causas. Se trata, de entrada, de una vivienda destinada a un mercado de alto nivel adquisitivo, que reclama calidades y comodidades que exigen unas inversiones muy difíciles de rentabilizar en pequeñas obras y restauraciones. Y no hay suelo disponible. Los solares de las características requeridas que quedan libres se cuentan con los dedos de una mano: la esquina entre la Ronda y San Roque, que tiene propietario y proyecto; los terrenos entre la Rúa Progreso y la muralla, una unidad de actuación pendiente de desarrollo; y el espacio que todavía queda en las huertas del Seminario, también con dueños. Para hacerse una idea, los pisos en las torres levantadas en el Seminario son probablemente los más caros de la ciudad: en la última torre levantada apenas quedan cinco o seis viviendas por vender, a cerca de 3.000 euros el metro cuadrado, auténtico lujo en Lugo. Pero los materiales, los acabados, el tamaño, la eficiencia, los accesos a las plazas de garaje y los servicios comunes (como gimnasio o sala de estudio o el merendero para fiestas) van acordes. La inversión en construir un piso de lujo, incluida la repercusión del solar, ronda según los profesionales unos 140.000 euros. Un aluvión de demandas por gastos de hipotecas inunda los juzgados Nada de eso, o casi nada, se puede ofrecer en un piso en un edificio rehabilitado en el centro, empezando por dos servicios tan básicos que su ausencia hace que las personas con dinero para pagar esos precios los descarten: es muy difícil poner ascensor sin perder muchos metros y es casi imposible tener garaje. Este último problema, indica uno de los expertos, podría resolverse en algunos casos si los bajos se pudieran usar como garajes, ""porque en este momento a nadie le interesa un bajo comercial, están todos vacíos"", pero la normativa urbanística no lo permite. Se refieren, por supuesto, al ya mítico Pepri, cuyas exigencias son tan extremas que, en palabras de uno de los principales inversores inmobiliarios en la ciudad, ""no me quedaría con algunas casas que me ofrecen ni aunque fuera por un euro. Rehabilitar es un problema, muy caro y las condiciones a cumplir hacen imposible rentabilizar ninguna inversión"". Bono alquiler joven 2024, requisitos para solicitarlo en Galicia Y eso, continúa, contando con que las cosas vayan bien con la licencia municipal, ""porque hay muchas veces que tardas más en conseguir la licencia que en hacer la obra. Si eso pasa ya fuera de muralla, imagina dentro"". Este es un problema que los diferentes concejales de Urbanismo llevan años intentado arreglar, sin mucho éxito hasta el momento, y uno de los más serios obstáculos con los que se encuentran los empresarios en la ciudad. A todas estas circunstancias se une a un punto de partida que desde la perspectiva de los promotores e inversores en vivienda solo puede calificarse de ""demencial"". El calificativo define, en su opinión, los precios que se están solicitando por edificios completos para rehabilitar en el centro de la ciudad. ""Están fuera de mercado. No un poco, sino mucho"", asegura uno de estos inversores, ""porque gran parte de esos edificios tienen poco más que la fachada, que estás obligado a conservar. La mayoría hay que vaciarlos por dentro, con lo que cuesta eso, meter una grúa en el centro, permisos... No es rentable"". Así las cosas, las rehabilitaciones integrales que se están haciendo a nivel de inversión se limitan a edificios adquiridos a buen precio y que con una reforma ligera y una puesta a punto pueden salir de nuevo al mercado para alquiler o para piso turístico. ""Ni siquiera son buscados por compradores particulares"", confirma un gestor inmobiliario, ""porque no deja de ser una casa vieja con gastos"". Inmuebles disponibles en Lugo 500.000: 184 metros en la Rúa da Cruz Edificio en Rúa da Cruz. EP  Con un local de hostelería en funcionamiento y con licencia en su bajo, este edificio en la Rúa da Cruz, en plena zona de vinos, reparte 184 metros cuadrados en este y sus dos plantas superiores. Es decir, sale a unos 2.717 euros por metro cuadrado, con el añadido de que hay que reformarlo casi por completo. La casa se construyó en 1880. 400.000: solar en la Ronda para cuatro plantas Sola para plantas. EP Hay muy pocos solares a la venta en el caso histórico y sus proximidades. Este está situado en la Ronda da Muralla, cerca de la Porta de San Fernando, y podrían construirse mil metros cuadrados repartidos en cuatro plantas, bajo y sótano con garaje. Está a la venta por 400.000 euros, y se anuncia con la cata arqueológica realizada. 750.000: licencia de hostelería en A Tinería Zona de A Tinería. EP Son varios los edificios que se venden en el centro con el reclamo de llevar aparejada una licencia de hostelería en vigor. Es el caso de esa oferta en la calle Tinería, de 582 metros construidos. Se dice que se hizo una «reforma media» en 2020, los que permitió poner a funcionar sus dos primeras plantas como hostal. Aún quedaría una tercera. 470.000: dos apartamentos y dúplex en Armanyá Inmueble en Armanyá. EP En principio, cada uno de los espacios habitables de 350 metros cuadrados de este edificio en Armanyá saldrían a 1.343 euros. El problema es que está ""semirrehabilitado"". Tiene cuatro plantas y bajocubierta, ahora repartidos en dos apartamentos y un dúplex. Cuenta con una ventaja a tener en cuenta en el centro de Lugo: dispone de ascensor.  800.000: Bajo y dos plantas en 318 metros Edificio para reformar en calle Doutor Castro. EP Una de las opciones más caras en el casco histórico de la capital se encuentra en la calle Doutor Castro. Es un edificio de 1880, a reformar por completo para conseguir repartir de la mejor manera sus 318 metros cuadrados edificados entre un bajo comercial y dos plantas."
4089,galicia,"Varias decenas de miles de personas han secundado este domingo, el primero de campaña electoral en Galicia, la convocatoria lanzada por la plataforma SOS Sanidade Pública bajo el lema Pola sanidade que queremos e merecemos y han llenado la plaza del Obradoiro, en la que manifestación concluyó sobre las dos de la tarde. Con esta manifestación la plataforma busca defender la sanidad pública y reclamar mejoras frente a la situación actual, con ""saturación"" de atención primaria, falta de especialistas y listas de espera. Convocada antes de conocerse la celebración de elecciones autonómicas, ha servido para alzarse como una demostración de unidad entre las formaciones de la izquierda en Galicia ya que los candidatos a la Xunta del BNG, Ana Pontón; PSdeG, José Ramón Gómez Besteiro; Sumar, Marta Lois, y de Podemos, Isabel Faraldo, han participado en la marcha como muestra de rechazo a las políticas sanitarias del Gobierno del PPdeG. Jefes de Oncología denuncian falta de rigor al seleccionar centros integrales del cáncer Las pancartas de los manifestantes eran variadas e indicaban que los manifestantes acudieron a Compostela desde todos los rincones de la comunidad y partieron su marcha bajo numerosos cánticos como ""Con nuestra salud no se juega"", ""Rueda atiende, nuestra sanidad no se vende"" o ""Presupuesto digno para la sanidad pública"". En la marcha también se han podido ver varios féretros que los manifestantes portaban para evidenciar que la sanidad pública está ""herida de muerte"". El portavoz de la plataforma SOS Sanidade Pública, Manuel Martín, en declaraciones a los medios antes de arrancar la manifestación en la alameda compostelana, ha dicho que esta es la demostración de que la ciudadanía gallega ""no va a bajar los brazos"" en la lucha para garantizar el acceso sanitario a todo el mundo. Martín ha rechazado que esta sea una convocatoria política, pero ha insistido en que ""si las políticas sanitarias no cambian"", el 18 de febrero ""habrá que ir pensando en cambiar los autores de las políticas sanitarias"", ha sostenido. A juicio del portavoz de la plataforma no puede haber ya más dilaciones a la hora de cambiar el rumbo en esta materia por lo que es ""hora de tomar soluciones"" en tanto que ""no es verdad que la situación no tenga solución, pero depende únicamente de la voluntad política"". Actualmente, ha advertido, la situación es ""absolutamente lamentable"" y, sobre todo, preocupante en el servicio de Atención Primaria, en la que las listas de espera superan la semana e incluso en ocasiones ""llegan a un mes"" pese a la versión que ofrece la Administración que, a su juicio, ""miente"" para ocultar estos datos. La plataforma resume sus demandas en una serie de peticiones, a las que darán lectura en la plaza del Obradoiro con un manifiesto cuya prioridad es reclamar un incremento del presupuesto destinado a sanidad, especialmente en Atención Primaria, así como la eliminación de ""la derivación sistemática de pacientes a los centros concertados privados"". Entre otras reivindicaciones, los convocantes también piden un incremento urgente de personal, la reapertura de los centros de salud que se han cerrado, así como la creación de nuevos puntos de atención allí donde sean necesarios. Piden también que la prestación del servicio de ambulancias vuelva a ser totalmente público, así como la implementación de un Plan Urgente para racionalizar las listas de espera y la elaboración de un plan consensuado para atender la salud mental, entre otras cuestiones. "
4090,,"La escena más perturbadora de la película La zona de interés -y qué catálogo exhaustivo de horrores es ese- es la de la protagonista y su madre en el jardín en flor, en un día soleado, al poco de llegar la segunda de visita, cuando le dice: “Hija mía, esto es el paraíso”. La señora mira el entorno como bebiéndoselo y a su hija con el brillo del orgullo, un destello casi reservado a los padres satisfechos del destino de su descendencia, cuando no solo están tranquilos por cómo les han ido las cosas sino que les burbujea dentro una ufanía particularísima, la del que siente que han llegado a donde ellos no pudieron.  Esto es el paraíso. El paraíso, escuchas estremecida. El paraíso es esa finca con piscina, con las dalias perfectas, el invernadero acristalado, las dos criadas que se mueven calladas y con la cabeza gacha, la enredadera creciendo, haciendo de las suyas, a ver si llega a tapar de una vez el muro que la separa de Auschwitz. El paraíso es vivir junto a un campo de concentración, casada con el gerente, recibiendo el enésimo abrigo de piel de una mujer judía a las que acaban de gasear, sacar del dobladillo las joyas ocultas y del bolsillo un pintalabios que, con todo tu cuajo, te pruebas frente al espejo.  Para la mañana siguiente la madre se habrá ido, incapaz de soportar la noche iluminada por el trabajo de los hornos y el aire lleno de partículas de ADN. No resistió el paraíso. Esa frase se me quedó como un eco. Seguía rebotando los días después de ver la película, igual que de Eichmann en Jerusalem, el libro de Hannah Arendt sobre el juicio al criminal de guerra, diligente organizador del Holocausto, se me grabó su declaración de cómo, al saber que Hitler había ordenado el exterminio de los judíos, perdió “la alegría en el trabajo” aunque siguió haciéndolo con toda dedicación. El paraíso y la alegría, qué elección de palabras la de esos personajes, uno de ficción y otro real, que viven en la disociación más extrema. Arendt, esto ya lo sabe todo el mundo, fue criticada muy duramente, especialmente por los suyos, cuando se publicó la crónica en New Yorker que después daría pie al libro. En primer lugar, por reflejar el papel de los Consejos Judíos en el aprisionamiento de estos, cómo sin su ayuda jamás el régimen nazi hubiera podido hacerlo con la eficiencia con la que lo hizo. En segundo lugar, por el término ‘banalidad del mal’ y la descripción que hizo de Eichmann como un burócrata gris que cumplía órdenes sin cuestionárselas jamás. Se esperaba que lo designara como un monstruo pero lo retrató como un hombrecillo deleznable, que externalizó por completo su capacidad de reflexión y que para medrar ejecutó un mandato tras otro, enviando a decenas de miles de personas a las cámaras de gas, optimizando tanto esas remisiones como los lugares de ejecución. Gracias a él, se pudo matar cada vez más personas, más rápido, aunque jamás empuñara arma alguna ni presionara botón alguno. La ‘banalidad del mal’, ese término, se interpretó (sobre todo por los que no se leyeron nunca el texto), como si banal fuera una característica del mal, como este pudiera ser ligero e inconsecuente y no el producto de un medido, buscado y voluntario esfuerzo por no pensar. “Únicamente la pura y simple irreflexión —que en modo alguno podemos equiparar con la estupidez— fue lo que le predispuso a convertirse en el mayor criminal de su tiempo... En realidad, una de las lecciones que nos dio el proceso de Jerusalén fue que tal alejamiento de la realidad y tal irreflexión pueden causar más daño que todos los malos instintos inherentes, quizá, a la naturaleza humana”, escribió Arendt."
4094,galicia,"Santiago Abascal acusó este domingo al PSOE y a Pedro Sánchez de ""dictar una sentencia de muerte"" contra el campo gallego. El líder de Vox realizó estas declaraciones desde la Praza Maior de Lugo, ciudad a la que acudió inmerso en plena campaña electoral de cara a las próximas elecciones gallegas del 18 de febrero.  ""Ayer –por este sábado– vino el presidente, con muy buenas palabras"", declaró Abascal, ""a recordar que quieren imponer la transición ecológica y la agenda 2030. Eso es una amenaza de muerte para Galicia y para todo el campo en Galicia y España. Y no solo para el campo, sino para la pesca y para el transporte"", indicó el líder de Vox. Abascal achaca los apoyos del PPdeG al ""simple aburrimiento"" y al ""miedo"" a la izquierda Abascal acusó también a Feijóo de ""complicidad"" con los socialistas y de votar en Bruselas contra los intereses del rural español. ENCUESTAS. Abascal también habló sobre las encuestas, que dejan a la formación verde fuera del parlamento gallego: ""No hacemos caso a los sondeos, ni cuando sonríen ni cuando son antipáticos, pero estamos acostumbrados a pulverizarlos"", añadió. Posteriormente, Abascal se dirigió hacia el hotel Méndez Núñez, donde celebró un acto ante más de un centenar de asistentes. "
4095,ribeira-sacra,"La quiroguesa María Vila Rochela estudiará el próximo curso en Estados Unidos gracias al programa de becas de la fundación Amancio Ortega. La chica, de 15 años y alumna del IES Quiroga, está ""ilusionada y con muchas ganas"", dijo, ante esta oportunidad que se le presenta después de superar un examen y varias entrevistas. Para estas becas solo había 400 plazas, de las que 70 estaban reservadas a alumnado gallego. Con todo, la mayoría de los escogidos pertenecen a las provincias de A Coruña y Pontevedra, mientras que solo María y otros cinco compañeros son de Lugo. Esta quiroguesa se muestra ""muy orgullosa"" por lo alcanzado y es consciente de la importancia de esta bolsa de estudios, que confía en aprovechar al máximo. Un médico chantadés se forma en uno de los mayores hospitales del mundo Para lograrla, tuvo que pasar tres fases. La primera fue una entrevista a distancia, para evaluar su nivel de inglés. Después, ya de forma presencial en Compostela, acudió a un examen, también en inglés, que según María fue la prueba más dura, pues emplearon alrededor de cuatro horas en completarla. Finalmente, envió vídeos y tuvo que enfrentarse a una entrevista, esta ya en castellano, sobre cuestiones más personales. Para prepararse, María Vila recibió clases de inglés durante año y medio. Además, aprovechaba los subtítulos de los filmes y series que veía para tomar nota de vocabulario y expresiones. Todo esto, dice, le ayudó a sacar adelante estas complejas pruebas. Empresas aeronáuticas ofrecen trabajo a los alumnos del CIFP As Mercedes Entre sus objetivos para el próximo curso está mejorar su dominio del inglés. Aunque le restan algo más de dos años para acceder al sistema universitario, ya piensa en su futuro y tiene en mente grados relacionados con la ingeniería, en los que sabe que un bueno manejo del inglés resulta esencial. Además, le abriría puertas para ""trabajar en el extranjero"", destacó. Dejando el aspecto académico al margen, María tiene gran interés por las costumbres y la forma de vida de los Estados Unidos. ""Lo veo en las películas y parece muy diferente"", dice. Dice que echará de menos a su familia y amigos María marchará en julio o agosto hacia Estados Unidos. Aún no conoce la localización exacta donde pasará el curso, pero sí sabe que estará con una familia voluntaria de acogida. A menudo, dice, son ""personas mayores, con hijos en la universidad o muy pequeños"". La beca de la fundación Amancio Ortega cubre todos los servicios necesarios para el curso escolar: los gastos del viaje, las tasas de escolarización y matrícula en un instituto, el alojamiento y mantenimiento en una familia anfitriona, el seguro médico y de accidentes y la convalidación del año académico. Afición por el voleibol Admite que echará de menos Quiroga, especialmente su familia y amistades. María dice que sus compañeras celebraron que consiguiera la beca y contienen la lástima que les supone estar un curso separadas porque saben ""que volveré en segundo de Bachillerato"". También echará de menos el voleibol, pues es jugadora del Quiroga Volei y su familia está muy implicada en el club. Los institutos de los Estados Unidos suelen ofrecer actividades extraescolares deportivas.  "
4098,espana,"La recién nacida que el pasado jueves ingresó en el Hospital Materno Infantil de Málaga con sospecha de malos tratos continúa en estado crítico, unos hechos por los que se investiga a su padre, que fue detenido por la Policía Nacional y se encuentra en libertad provisional desde este sábado. Fuentes sanitarias han informado este domingo a Efe que la bebé sigue en la unidad de cuidados intensivos (UCI) del hospital, sin que se haya producido variación en su estado de salud en las últimas horas. Despiden a un profesor de Málaga por presuntos tocamientos a diez alumnos de entre 6 y 7 años El Juzgado de Instrucción número 6 de Málaga, en funciones de guardia, acordó este sábado la puesta en libertad provisional del padre de la niña, que fue arrestado por el Grupo de Menores (Grume) de la Policía Nacional después de que el hospital activara el protocolo por sospecha de malos tratos cuando ingresó la pequeña. De momento no ha trascendido el tipo de lesiones que presenta la bebé, que tiene poco más de dos semanas de vida y reside en Málaga capital."
4099,lugo,"La Xunta aclaró que no se desentiende del Sagrado Corazón ni se niega a llevar más dotaciones al barrio, además del centro de salud, después de que el Concello diese a conocer que había rechazado la oferta de más superficie que la necesaria para construirlo. La Administración autonómica señaló que el nuevo ambulatorio es la prioridad en estos momentos. Recordó que lleva años esperando a que el Concello le aporte el suelo necesario para hacer un nuevo centro y cree que el planteamiento que le hizo hace unas semanas -en el que le ofreció toda la parcela que ocupaba el antiguo colegio para que pudiera construir dotaciones de carácter social- es ""electoralista"" y no está pensado en clave de ciudad. La Xunta rechaza negociar servicios para el Sagrado Corazón para no demorar el centro de salud La Xunta asume que la zona puede necesitar nuevos servicios, pero cree que es necesario estudiar muy bien cuáles. E insiste en que cualquier otra intervención que se quiera hacer en la parcela debe tener en cuenta el centro de salud, que es lo más urgente.Por esa razón, en la carta remitida a la alcaldesa, el conselleiro de Sanidade propone una visita de técnicos del Sergas a la parcela para evaluar su viabilidad. Una vez estos den el visto bueno, la Xunta haría al Ayuntamiento una propuesta de convenio para la cesión de la superficie necesaria para el centro de salud.La Xunta insiste en que abrir ahora una negociación para debatir y acordar nuevas infraestructuras en esa parcela supondría seguir demorando la construcción sanitaria que cree prioritaria. El Concello propuso a Sanidade la cesión de un total de 5.764 metros cuadrados, recordando a la Xunta que los vecinos del barrio reclaman servicios como un centro de día, un centro sociocultural y una residencia de personas mayores y dependientes, infraestructuras que serían compatibles con la actividad sanitaria, dice. El colegio del Sagrado Corazón se cambiará por un solar de Catasol Por su parte la Xunta aseguró que solo precisaría 1.534 metros cuadrados para el nuevo centro de salud de la zona."
4101,gente,"Josito Rude Boy, miembro del equipo de Almácor, ha denunciado a través de la red social X el ""boicot"" que ha sufrido el artista de Villena (Alicante) durante su actuación este sábado en la final de Benidorm Fest 2024. ""¡El boicot de hoy vergonzoso! Ni sparks, ni visuales. Ha sido durísimo"", ha escrito al término del show de su representado, en el que han fallado algunos de los efectos clave de su puesta en escena con la canción Brillos platino. Nebulossa representará a España en Eurovisión con 'Zorra' Colaborador de otros artistas como Beret, Walls o Fusa Nocta, Josito Rude Boy ha demandado en otro mensaje posterior que RTVE debería permitir que Almácor repitiese su actuación íntegra para subsanar las deficiencias. La final del tercer Benidorm Fest se celebró el sábado en el Palau d'Esport l'Illa de Benidorm y el triunfo fue para Nebulossa, que representará a España en Eurovisión 2024."
4103,a-marina,"El Celta Barreiros liquidó por la vía rápida su primera oportunidad de sellar matemáticamente el ascenso de categoría tras imponerse por 6-0 al Comercial B en O Cascabeiro. Ya la pasada semana tuvo la opción de hacerlo, pero no dependía de sí mismo, lo que fue un lastre insalvable para cerrar su objetivo. Esta vez, el conjunto que entrena Rubén Acebedo puso la guinda a su espectacular trayectoria desde el comienzo de la Tercera Autonómica y recupera la categoría que perdió la pasada temporada, a expensas de la nueva configuración de los grupos que realizará la Federación Galega de Fútbol. El Celta Barreiros despega en Tercera Galicia como líder del grupo Norte tras cuatro jornadas Los números de la escuadra barreirense no dejan lugar a dudas sobre su superioridad en el campeonato. Lograr el ascenso a falta todavía de 15 puntos en juego demuestra que la diferencia con el tercer clasificado es abismal. Los mariñanos llevan ganados 16 de los 17 partidos disputados y son los máximos goleadores del campeonato, con 50 tantos, y los menos goleados, con diez, menos de un gol por partido.  El encuentro ante el Comercial B fue el ideal para que la parroquia barreirense pudiera disfrutar de una jornada festiva y plácida al mismo tiempo, ya que los locales salieron en tromba dispuestos a marcar su territorio y ya sentenciaron el partido en el primer tiempo, llegando al descanso con un concluyente 3-0 gracias a los tantos de Jhoseba, Nicolás y Javi. Copete, una mirada al derbi barreirense desde los dos bandos Lejos de conformarse, el conjunto barreirense hizo otro tres goles en la segunda mitad (Pita, Jaime y Álex) para celebrar al final del partido el ascenso por todo lo alto, con los jugadores abrazándose y el público cantando ¡A Segunda oe! para celebrar la recuperación de la categoría perdida. El próximo objetivo del Celta Barreiros será el de asegurar el título, algo que tendrá en la mano en las próximas jornadas."
4104,gente,"El presentador Jordi Évole repasará este domingo por la noche en su programa Lo de Évole la vida y trayectoria de Ana Bélén, un programa donde la artista confiesa que sufrió acoso sexual de un director de cine -al que no identifica- durante el rodaje de una película. ""Sí, me pasó, fuera de rodaje con un director. Yendo por la calle, de noche, y me arrinconó contra la pared y me besó, pero sin haber habido insinuación antes, fue desagradable"", con estas palabras Ana Belén reconocerá a Évole esta noche que sufrió el acoso de un cineasta. Según ha adelantado en su cuenta de X Évole, éste le pregunta a la artista si es un nombre conocido, ante lo que ella asiente. También, añade Ana Belén sobre su reacción: ""yo qué sé, me daría esa risa nerviosa ante la situación inusual y violentita y deseando llegar pronto a mi hotel"". Ana Belén denuncia un caso de abuso por parte de un director de cine.pic.twitter.com/fWMyhhsgEF — Jordi Évole (@jordievole) February 3, 2024 ""Y luego -apunta la cantante- tuve que rodar toda la película con él y no hubo nada"" LaSexta emitirá este domingo, a las 21:25 horas, esta entrevista realizada en Menorca a Ana Belén, cantante, actriz y musa de varias generaciones que debutó con 12 años y sigue activa casi seis décadas después. Ambos recorren a pie lugares de la isla mientras recuerdan cómo ella empezó cantando a diario en la radio, cuando era todavía una niña y actuaba con su nombre, Pilar Cuesta. De esa niña prodigio partió una carrera que hoy incluye 35 discos, 40 películas y centenares de representaciones teatrales. La entrevista se emite una semana antes de que la artista madrileña presente junto a Los Javis la gala de los Premios Goya del cine español."
